回数,賞,ID,song_by
22,金賞,3016,ダンシング・オールナイト_by_もんた＆ブラザーズ
22,金賞,3963,ふたりの夜明け_by_五木ひろし
22,金賞,5013,私はピアノ_by_高田みづえ
22,ロング・セラー賞,4958,別れても好きな人_by_ロス・インディオス＆シルビア
23,大賞,4861,ルビーの指環_by_寺尾聰
23,新人賞,1635,ギンギラギンにさりげなく_by_近藤真彦
23,新人賞,No ID!,てれてZinZin_by_竹本孝之
23,新人賞,8511,父さん_by_裕子と弥生
23,新人賞,538,函館本線_by_山川豊
23,新人賞,272572,はみだしチャンピオン_by_沖田浩之
23,最優秀歌唱賞,2760,すみれ色の涙_by_岩崎宏美
23,最優秀新人賞,1635,ギンギラギンにさりげなく_by_近藤真彦
23,金賞,312,あなたひとすじ_by_川中美幸
23,金賞,709,命あたえて_by_森進一
23,金賞,1354,哀しみ本線日本海_by_森昌子
23,金賞,2643,人生かくれんぼ_by_五木ひろし
23,金賞,2737,ス・ト・リ・ッ・パー_by_沢田研二
23,金賞,2760,すみれ色の涙_by_岩崎宏美
23,金賞,94237,センチメンタル・ガール_by_西城秀樹
23,金賞,4248,街角トワイライト_by_シャネルズ
23,金賞,4537,もしもピアノが弾けたなら_by_西田敏行
23,金賞,4861,ルビーの指環_by_寺尾聰
23,ロング・セラー賞,4011,ブランデーグラス_by_石原裕次郎
23,ロング・セラー賞,4347,みちのくひとり旅_by_山本譲二
23,ロング・セラー賞,958,奥飛騨慕情_by_竜鉄也
24,大賞,1486,北酒場_by_細川たかし
24,新人賞,4720,ゆ・れ・て湘南_by_石川秀美
24,新人賞,3865,100％…SOかもね！_by_シブがき隊
24,新人賞,151691,アンサーソングは哀愁_by_早見優
24,新人賞,5754,待ちぼうけ_by_堀ちえみ
24,新人賞,2838,センチメンタル・ジャーニー_by_松本伊代
24,最優秀歌唱賞,2595,シルエット・ロマンス_by_大橋純子
24,最優秀新人賞,3865,100％…SOかもね！_by_シブがき隊
24,金賞,872,越前岬_by_川中美幸
24,金賞,42827,花梨_by_柏原芳恵
24,金賞,1486,北酒場_by_細川たかし
24,金賞,1766,けんかをやめて_by_河合奈保子
24,金賞,1965,小麦色のマーメイド_by_松田聖子
24,金賞,2788,聖・少女_by_西城秀樹
24,金賞,3046,契り_by_五木ひろし
24,金賞,3416,夏をあきらめて_by_研ナオコ
24,金賞,4639,誘惑スレスレ_by_田原俊彦
24,金賞,4887,6番目のユ・ウ・ウ・ツ_by_沢田研二
24,ロングセラー賞,4111,望郷酒場_by_千昌夫
24,ロングセラー賞,4467,夫婦舟_by_三笠優子
25,大賞,4560,矢切の渡し_by_細川たかし
25,新人賞,No ID!,恋あなたしだい_by_岩井小百合
25,新人賞,No ID!,ダンシング・レディ_by_大沢逸美
25,新人賞,6406,よこはまチャチャ_by_小野さとる
25,新人賞,211620,もしかして・ドリーム_by_桑田靖子
25,新人賞,5865,気まぐれONE WAY BOY_by_THE GOOD-BYE
25,最優秀歌唱賞,876,越冬つばめ_by_森昌子
25,最優秀新人賞,5865,気まぐれONE WAY BOY_by_THE GOOD-BYE
25,金賞,446,家路_by_岩崎宏美
25,金賞,865,エスカレーション_by_河合奈保子
25,金賞,1400,ガラスの林檎_by_松田聖子
25,金賞,1597,ギャランドゥ_by_西城秀樹
25,金賞,2894,そんなヒロシに騙されて_by_高田みづえ
25,金賞,3723,春なのに_by_柏原芳恵
25,金賞,3774,ピエロ_by_田原俊彦
25,金賞,4353,ミッドナイト ステーション_by_近藤真彦
25,金賞,4472,め組のひと_by_RATS＆STAR
25,金賞,4560,矢切の渡し_by_細川たかし
25,ロング・セラー賞,2063,さざんかの宿_by_大川栄策
25,ロング・セラー賞,4786,ラヴ・イズ・オーヴァー_by_欧陽菲菲
25,ロング・セラー賞,3790,氷雨_by_佳山明生
25,特別金賞,2059,細雪_by_五木ひろし
25,特別金賞,6247,きめてやる今夜_by_沢田研二
25,特別金賞,3425,浪花恋しぐれ_by_都はるみ＆岡千秋
25,特別金賞,3993,冬のリヴィエラ_by_森進一
25,特別金賞,6074,日本海_by_八代亜紀
26,大賞,3360,長良川艶歌_by_五木ひろし
26,新人賞,2846,前略、道の上より_by_一世風靡セピア
26,新人賞,38587,―Dreaming Girl― 恋、はじめまして_by_岡田有希子
26,新人賞,2097,SUMMER EYES_by_菊池桃子
26,新人賞,4543,モニカ_by_吉川晃司
26,新人賞,3569,バージンブルー_by_SALLY
26,最優秀歌唱賞,5573,浪花節だよ人生は_by_細川たかし
26,最優秀新人賞,38587,―Dreaming Girl― 恋、はじめまして_by_岡田有希子
26,金賞,1473,北ウイング_by_中森明菜
26,金賞,1496,北の螢_by_森進一
26,金賞,1669,唇のプライバシー_by_河合奈保子
26,金賞,2008,最愛_by_柏原芳恵
26,金賞,5573,浪花節だよ人生は_by_細川たかし
26,金賞,3360,長良川艶歌_by_五木ひろし
26,金賞,3886,ピンクのモーツァルト_by_松田聖子
26,金賞,4161,星屑のステージ_by_チェッカーズ
26,金賞,4534,もしかして PART II_by_小林幸子・美樹克彦
26,金賞,4932,ワインレッドの心_by_安全地帯
27,大賞,4309,ミ・アモーレ_by_中森明菜
27,新人賞,3161,Temptation(誘惑)_by_本田美奈子.
